10 	28823	137650	28390	135556 286154	1200830	
12 	35873	172914	35396	170572 392525	1711916	
14 	43659	211986	43138	209396 527600	2368934	
16 	52181	254866	51616	252028 695279	3192668	
18 	62941	307562	62332	304476 903572	4220342	
20 	73055	358538	72402	355204 1151837	5454572	
22 	83905	413322	83208	409740 1443578	6914558	
24 	95491	471914	94750	468084 1782299	8619500	
26 	108029	535178	107244	531100 2172152	10591190	
28 	121099	601434	120270	597108 2616029	12846380	
30 	134905	671498	134032	666924 3117434	15404270	
